method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.0168386173248291,1000000.0,16.8386173248291,14.346576520170542,23.968089667327767,43141.17675624704,27.631021114657408,8.089053933596565,10.03869305069485,14.90358620465622,16.571764573039232,30,5,False,42
ABC-Vanilla,2154.4346900318833,0.03627770129678368,464158.8833612779,7.815793814840545,9.62783847977912,23.955113491724468,43309.433500011386,27.631021114595207,8.1974342673076,10.023019159334984,15.02847350731955,16.748363208097487,30,5,False,42
ABC-Vanilla,4641.588833612778,0.07815793814840542,215443.4690031884,3.6277701296783698,8.962053758211761,23.95030643282996,42668.69074471558,27.631021114615383,8.316127337040895,10.008284362109313,14.940196999706638,16.61437914069448,30,5,False,42
ABC-Vanilla,10000.0,0.168386173248291,100000.0,1.6838617324829102,8.496849019554652,23.946252207453373,44440.73778350455,27.631021114594663,7.9093495011465125,10.05397471607103,14.983618747571931,16.68635984894176,30,5,False,42
ABC-Vanilla,21544.346900318837,0.3627770129678369,46415.88833612779,0.7815793814840545,8.124790712187627,23.977694745994935,42842.41512730099,27.63102111463868,8.090317571845016,10.02356147458531,14.959003228889346,16.652993090681452,30,5,False,42
ABC-Vanilla,46415.88833612777,0.781579381484054,21544.346900318847,0.3627770129678371,7.8026827371664735,23.924492471715553,43335.3632530676,6.907755277648554,7.886853903308974,10.005658620772458,15.032695213019638,16.750059395564115,30,5,False,42
ABC-Vanilla,100000.0,1.68386173248291,10000.0,0.16838617324829103,7.522938716039004,23.921423580511306,44254.11718118722,27.631021114571723,8.327514751371016,10.014156131411774,15.021125475642153,16.722937686959682,30,5,False,42
ABC-Vanilla,215443.4690031882,3.6277701296783658,4641.588833612783,0.0781579381484055,7.265631461264015,23.915348867314,43089.949827565346,27.631021114510062,8.16101005005075,9.997404709146611,14.992033724758949,16.705031203281468,30,5,False,42
ABC-Vanilla,464158.8833612778,7.815793814840542,2154.434690031884,0.036277701296783704,7.0298229264127245,23.983503959165958,43358.880004129765,27.631021114517058,7.917232506984285,10.031044226725852,15.00518915528242,16.728152885852378,30,5,False,42
ABC-Vanilla,1000000.0,16.8386173248291,1000.0,0.0168386173248291,6.816268130184773,23.960810100136293,43330.470966272886,27.63102111457589,8.006541048335631,10.032678207478456,15.001298736246753,16.68747064597747,30,5,False,42
permABC-Vanilla,1000.0,0.03851297068595887,1000000.0,38.51297068595886,6.66772233446515,23.91861660728896,4930.870041349333,27.631021114570874,6.129715016269436,9.997078931592926,4.145061330276532,5.335181604059283,30,5,False,42
permABC-Vanilla,2154.4346900318833,0.0829736800620108,464158.8833612779,17.876137468520295,2.9374419842566453,23.91548984742343,3379.4628615182,27.631021114569037,4.766588552673856,10.020107589345548,3.146527202007283,4.268001414327887,30,5,False,42
permABC-Vanilla,4641.588833612778,0.17876137468520292,215443.4690031884,8.297368006201081,2.494537021541838,23.96456248619787,2664.645254294972,27.631021114574786,3.788198856693549,10.02810512183677,2.624354166895245,3.6789828797387267,30,5,False,42
permABC-Vanilla,10000.0,0.38512970685958864,100000.0,3.8512970685958865,2.197124500547557,23.95149642462633,2247.973470397796,27.63102111457572,3.1025438862951433,10.025319182675302,2.2717468406859287,3.275191911324448,30,5,False,42
permABC-Vanilla,21544.346900318837,0.8297368006201081,46415.88833612779,1.7876137468520297,1.9706972166502337,23.985540285737457,1980.436777577535,27.631021114598095,2.5093416903531365,10.053746675351801,1.980518348287286,2.9580996414245297,30,5,False,42
permABC-Vanilla,46415.88833612777,1.7876137468520288,21544.346900318847,0.8297368006201084,1.7888389780821163,23.984502739813877,1745.9301925753764,27.631021114699063,2.032675780467986,10.065027810709129,1.7400858795308485,2.7068160532937324,30,5,False,42
permABC-Vanilla,100000.0,3.8512970685958865,10000.0,0.38512970685958864,1.6395645608847451,24.04565382753299,1545.417224546109,27.631021114705202,1.661349565966085,10.070310116856701,1.5324661276957052,2.4905506925565195,30,5,False,42
permABC-Vanilla,215443.4690031882,8.297368006201074,4641.588833612783,0.1787613746852031,1.5106270786146012,24.018765958659582,1460.5459629263237,27.631021114704037,1.3787786600326881,10.120446534949657,1.384170486281318,2.347295454526462,30,5,False,42
permABC-Vanilla,464158.8833612778,17.87613746852029,2154.434690031884,0.08297368006201082,1.40668716313232,24.03967136006434,1335.5687825403356,27.63102111470551,1.1401856056312367,10.126578605613075,1.246857453294767,2.214422864704591,30,5,False,42
permABC-Vanilla,1000000.0,38.51297068595886,1000.0,0.03851297068595886,1.3134743268181326,24.066465310786747,1229.3683825521025,27.63102111472843,0.9271733951411711,10.1252556080627,1.117100848567618,2.1034868894475305,30,5,False,42
ABC-SMC,950.0,0.0271055539449056,28500.0,0.813166618347168,11.279236592076433,23.963281480250764,42135.15812976427,27.631021114597136,8.137312724992505,10.028302370333655,14.732738642409945,16.422864194574245,30,5,False,42
ABC-SMC,1852.0,0.04087220033009847,55560.0,1.226166009902954,10.949151215113785,23.970858489614915,41468.514825788094,27.63102111463856,8.165827652639033,10.032012898805707,14.600147827214416,16.26212740035235,30,5,False,42
ABC-SMC,2708.0,0.05287013053894043,81240.0,1.586103916168213,10.713769995590074,23.97459192720492,40923.3924069537,27.63102111463842,8.153492441884726,10.034696288167607,14.482694428153684,16.128585800246135,30,5,False,42
ABC-SMC,3521.0,0.0669353723526001,105630.0,2.008061170578003,10.532206944209918,23.97563060961767,40302.123744443306,27.631021114638482,8.184507251173297,10.033100584945313,14.390321991808225,16.005811728985833,30,5,False,42
ABC-SMC,4293.0,0.08051843643188476,128790.0,2.415553092956543,10.41325940072806,23.975836069652154,40105.71717578565,27.63102111463834,8.179444700871121,10.039638003742462,14.290027350205813,15.901823745221156,30,5,False,42
ABC-SMC,5026.0,0.09496897061665853,150780.0,2.849069118499756,10.305668119595198,23.986420714613853,39612.34602421688,27.63102111465935,8.199421977072507,10.042918693703651,14.188661264827257,15.804945268237432,30,5,False,42
ABC-SMC,5722.0,0.10879753430684407,171660.0,3.2639260292053223,10.156340104626528,24.001628367896917,38874.00188218195,27.63102111470134,8.219617144948272,10.038408741000124,14.103824866458323,15.710505669316328,30,5,False,42
ABC-SMC,6383.0,0.12384516398111979,191490.0,3.7153549194335938,10.083972835716487,23.99562328572251,38651.88809684808,27.631021114721303,8.211371335087275,10.038840608944072,14.03501768210551,15.618275538743108,30,5,False,42
ABC-SMC,7011.0,0.13827906449635824,210330.0,4.148371934890747,10.023859600543199,23.99252905198722,38363.25017742361,27.631021114720824,8.216909974657497,10.040027590970379,13.960255442243296,15.526796816402967,30,5,False,42
ABC-SMC,7607.0,0.15319282213846844,228210.0,4.595784664154053,9.956206601161504,23.994913794160382,37795.1492736529,27.631021114720987,8.226273953418842,10.03537686668313,13.883378502653528,15.440844002662987,30,5,False,42
ABC-SMC,8173.0,0.16798349221547446,245190.0,5.039504766464233,9.86931236638656,23.996342445866034,37300.31403940296,27.631021114720802,8.247000766133121,10.031334003446432,13.800015943214241,15.367527331392473,30,5,False,42
ABC-SMC,8710.0,0.18243820667266844,261300.0,5.473146200180054,9.784097393077047,24.000670871957773,37110.63201034688,27.63102111474148,8.271804154763634,10.03734726912717,13.727903204469984,15.27730323557588,30,5,False,42
ABC-SMC,9220.0,0.19703989028930663,276600.0,5.911196708679199,9.699461817404796,24.003183526385484,36785.4243773587,27.631021114762284,8.306449051557742,10.040721025059012,13.659699666475955,15.200794440618553,30,5,False,42
ABC-SMC,21115.702479338845,0.42434572845122703,306600.0,6.161499977111816,9.649065081253712,24.004532708894875,36533.43708819759,27.631021114762166,8.216901849475137,10.041436750611608,13.595260333110058,15.131176640547238,30,5,False,42
ABC-SMC,23078.512396694216,0.42732904765231555,335100.0,6.204817771911621,9.594125974180521,24.007053255409783,36039.19937582087,27.631021114762476,8.241227514780066,10.034350989848623,13.530899786328481,15.056611264087591,30,5,False,42
ABC-SMC,24944.214876033056,0.45236605258027385,362190.0,6.568355083465576,9.542392463543951,23.99909455901266,35671.786467962986,27.63102111476173,8.185546159575747,10.028874194962295,13.469285310048603,14.995680653241719,30,5,False,42
ABC-SMC,26714.87603305785,0.4821473573521806,387900.0,7.000779628753662,9.477733134026268,24.01572890186062,35305.249146868184,27.631021114783394,8.175470691352983,10.03216552928702,13.418178762145676,14.914258168310132,30,5,False,42
ABC-SMC,28338.14432989691,0.5084467098065669,412320.0,7.397899627685547,9.411481974394649,24.03144128062513,35302.957125134184,27.631021114805282,8.189366613155535,10.04423835725753,13.36639825601085,14.863060639573588,30,5,False,42
ABC-SMC,29934.020618556704,0.5352732242177852,435540.0,7.788225412368774,9.385021825718583,24.038011492166472,35285.18559520151,27.631021114805694,8.184734016064684,10.053008739756002,13.312951411136599,14.792650289282019,30,5,False,42
ABC-SMC,31449.48453608248,0.5578404193891283,457590.0,8.116578102111816,9.343187852598549,24.029659418817644,35095.70450320369,27.631021114804927,8.158833532164147,10.051949837238412,13.259517948247765,14.723554321151747,30,5,False,42
ABC-SMC,32890.72164948454,0.5849068271335458,478560.0,8.51039433479309,9.311436301119574,24.01761038324272,34810.72127018528,27.631021114804014,8.136280706658015,10.044068890957373,13.19959568651624,14.664957132552614,30,5,False,42
ABC-SMC,34259.793814433,0.6113907725540634,498480.0,8.895735740661621,9.262412292848449,24.023420694570657,34823.74403312187,27.6310211148041,8.14268945256899,10.04895045755637,13.153036177330197,14.602118727818363,30,5,False,42
ABC-SMC,35558.76288659794,0.6357731769994364,517380.0,9.250499725341797,9.213517054569994,24.028164351803017,34040.00938324356,27.631021114825426,8.18779357006762,10.03433342382302,13.097424878938195,14.539549007055886,30,5,False,42
ABC-SMC,36793.8144329897,0.6620763503399093,535350.0,9.633210897445679,9.167319246731932,24.050995425033285,34114.06507283244,27.631021114847965,8.16710598218998,10.052119133236124,13.04207520425762,14.483770069632632,30,5,False,42
ABC-SMC,37969.072164948455,0.6902054822731675,552450.0,10.042489767074585,9.101937029378973,24.048739266669678,33950.97127818476,27.631021114847876,8.1227641306527,10.050436786640239,12.974974395821773,14.431340598162992,30,5,False,42
ABC-SMC,39086.59793814434,0.719241309411747,568710.0,10.464961051940918,9.053804668444585,24.056748329479205,33962.56617813838,27.631021114848195,8.125791994476575,10.068436619571735,12.925882893922365,14.364310099539626,30,5,False,42
