method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.0031542170047760007,1000000.0,3.154217004776001,62.71552691532701,23.984392601072933,13599.542449981676,27.63102111461602,9.639700634120631,10.035603990790875,21.993012847871633,20.9276080444166,5,4,False,42
ABC-Vanilla,2154.4346900318833,0.0067955545349778785,464158.8833612779,1.4640578428159832,31.641284218731183,23.944372355257418,13208.952758290234,27.631021114554045,10.162819752265321,10.008448035423323,21.68867264304152,20.65819887163381,5,4,False,42
ABC-Vanilla,4641.588833612778,0.014640578428159828,215443.4690031884,0.6795554534977881,27.420715490978903,23.97451302482107,13515.205340282477,27.631021114536026,9.50289356180589,10.02285528805307,21.962742313531038,20.849942263596446,5,4,False,42
ABC-Vanilla,10000.0,0.031542170047760006,100000.0,0.3154217004776001,24.465412335676483,23.88188115825822,13191.98103571033,27.631021114485858,10.257565372027766,9.961724331476036,21.85872846618019,20.769768767862182,5,4,False,42
ABC-Vanilla,21544.346900318837,0.0679555453497788,46415.88833612779,0.14640578428159834,22.089863271939066,23.948773611202146,13319.453349857082,27.631021114592418,10.830156030135434,10.004325733792323,21.894464449226085,20.8153793727546,5,4,False,42
ABC-Vanilla,46415.88833612777,0.14640578428159826,21544.346900318847,0.06795554534977884,20.091218302377975,23.967442007735947,13447.63034729247,27.631021114597715,10.282673576215055,10.017688750891285,22.068572520643084,20.949001352911452,5,4,False,42
ABC-Vanilla,100000.0,0.3154217004776001,10000.0,0.03154217004776001,18.309514633716677,23.91934854356299,13491.146400598751,27.63102111459232,10.220808835499932,9.983673312427443,22.109615527386293,21.003918774034155,5,4,False,42
ABC-Vanilla,215443.4690031882,0.6795554534977875,4641.588833612783,0.014640578428159842,16.708713506008213,23.928049828295727,13627.606728085828,27.63102111451182,10.281054085635908,10.000855356688023,22.076461853226583,21.000546856910614,5,4,False,42
ABC-Vanilla,464158.8833612778,1.4640578428159827,2154.434690031884,0.006795554534977882,15.242864991798752,23.93406567385783,13544.202734450333,27.631021114532732,10.014206440679402,10.009733481032088,22.0385918594439,20.922627908762728,5,4,False,42
ABC-Vanilla,1000000.0,3.154217004776001,1000.0,0.003154217004776001,13.91717511078039,23.91127499178254,13544.175948411004,6.907755277606748,9.097345580272274,9.999160244148037,22.09039409896895,20.98231101706154,5,4,False,42
permABC-Vanilla,1000.0,0.006173895835876465,1000000.0,6.173895835876465,46.714377281927526,23.971992310506288,6163.857930689369,27.63102111457424,12.210275941173169,10.001626406301412,14.283373651469859,14.133369042151628,5,4,False,42
permABC-Vanilla,2154.4346900318833,0.013301255361455646,464158.8833612779,2.8656685971692637,21.604196552441945,23.892450763669792,4367.659643630324,6.214608097107755,12.033457454198142,9.980579354756959,12.170777913020975,12.083658195515005,5,4,False,42
permABC-Vanilla,4641.588833612778,0.028656685971692627,215443.4690031884,1.330125536145565,18.824511471206392,23.963339615776704,3540.5110390110613,27.631021114657404,11.122943484787893,10.013885253393504,10.750634832839232,10.854496765441318,5,4,False,42
permABC-Vanilla,10000.0,0.061738958358764646,100000.0,0.6173895835876465,16.822194053861978,23.933005415375177,2864.9135943517176,27.63102111455213,11.0003408483417,9.985037883797094,9.598330513958045,9.870921330557625,5,4,False,42
permABC-Vanilla,21544.346900318837,0.13301255361455647,46415.88833612779,0.28656685971692636,15.165817769703597,23.91315909898383,2398.664252824745,27.631021114551338,10.916559520833522,10.02394806262456,8.538746639027188,8.994172194596091,5,4,False,42
permABC-Vanilla,46415.88833612777,0.2865668597169262,21544.346900318847,0.13301255361455655,13.702123840802509,23.930076110901823,1951.5238254668993,27.631021114592063,10.390253240927464,10.026210542821495,7.599684739503968,8.26304971483491,5,4,False,42
permABC-Vanilla,100000.0,0.6173895835876464,10000.0,0.061738958358764646,12.381020106862584,23.967888935333185,1563.996693443491,27.63102111465825,9.785269520462398,10.0194089831344,6.746747354125249,7.606314972380811,5,4,False,42
permABC-Vanilla,215443.4690031882,1.3301255361455637,4641.588833612783,0.028656685971692655,11.13387005359289,23.94237442866347,1286.1521656191496,27.631021114615365,9.25270074186255,9.990799454165495,6.024323860438521,7.063060610495466,5,4,False,42
permABC-Vanilla,464158.8833612778,2.865668597169263,2154.434690031884,0.013301255361455653,10.021398895199203,23.959471447164102,1075.6858766133646,27.631021114594585,8.507100406241207,10.03845814379306,5.3216463592288585,6.5726011469303165,5,4,False,42
permABC-Vanilla,1000000.0,6.173895835876465,1000.0,0.006173895835876465,9.042406325115449,23.973554104352047,894.5212416672106,27.63102111461671,7.691873365146431,10.049861536776795,4.6851330768585795,6.1521910738480505,5,4,False,42
ABC-SMC,950.0,0.14581599235534667,4750.0,0.7290799617767334,41.801908906085096,24.02980505362561,12765.631058264593,27.631021114703874,10.541928767700501,10.048816089770588,21.388903109853075,20.334324474305507,5,4,False,42
ABC-SMC,1852.0,0.21779427528381348,9260.0,1.0889713764190674,40.087170234645015,24.028946027658282,12405.427702568082,27.631021114703483,10.52920582919404,10.052272543990739,21.0126231067734,19.990724691789044,5,4,False,42
ABC-SMC,2708.0,0.28670201301574705,13540.0,1.4335100650787354,38.895492216019235,24.041576178508365,11945.568041013412,27.631021114724845,10.438771831275776,10.051566364189172,20.673556948924663,19.6806414631621,5,4,False,42
ABC-SMC,3521.0,0.3536845684051514,17605.0,1.7684228420257568,37.33591320369176,24.049572083909517,11642.452932363803,27.631021114725833,10.404592983404381,10.057013017802602,20.37416958847644,19.412602306629122,5,4,False,42
ABC-SMC,4293.0,0.4244209766387939,21465.0,2.1221048831939697,36.46669469717205,24.047344025162523,11241.147381783238,27.631021114746076,10.40171535338945,10.047821503046306,20.10623856813755,19.168602473966224,5,4,False,42
ABC-SMC,5026.0,0.4955463886260987,25130.0,2.477731943130493,35.667508275323115,24.056736600154814,11056.89876508553,27.631021114746485,10.279690265431485,10.055210305473134,19.863623322092117,18.948246576091062,5,4,False,42
